ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS
LaPolla-2003-591-1	1	still is			53	†(still.is)	χaiʂə
LaPolla-2003-591-2	2	emperor	3377	EMPEROR	60	emperor	juanʁuai // juɑnʁuɑi // juɑnʁuɑi109 // ʐmitʂi // ʐmətʂi
LaPolla-2003-591-3	3	also			40	also	lə // tou
LaPolla-2003-591-4	4	go	695	GO	155	go // go:EMPH // go:PRS	k // ka: // ku // kɑ: // kə // kə: // qɑ // qə // ʁ // ʁa // ʁɑ // ʁə
LaPolla-2003-591-5	5	become	1990	BECOME	27	become // become:PRS	pe // pɑ:
LaPolla-2003-591-6	6	this manner			26	this.manner	tsəi
LaPolla-2003-591-7	7	Thɑnkhemu			25	Thɑnkhemu	thɑnkhemu
LaPolla-2003-591-8	8	that one	78	THAT	26	that:one // that:one:CL	thou // thɑ
LaPolla-2003-591-9	9	son	1620	SON	24	son	tʂi
LaPolla-2003-591-10	10	cry	1839	CRY	24	cry	zei
LaPolla-2003-591-11	11	come	1446	COME	81	come // come:PRS	l // lu // lů // lɑ // lɑ: // lə
LaPolla-2003-591-12	12	what	1236	WHAT	27	what	ȵi: // ȵiɣi
LaPolla-2003-591-13	13	ask	1309	ASK (INQUIRE)	21	ask	keʴl
LaPolla-2003-591-14	14	there	1937	THERE	80	there	thu // thɑ // thə // ɦɑlɑ // ɦɑlə
LaPolla-2003-591-15	15	Likhemu			20	Likhemu	likhemu
LaPolla-2003-591-16	16	Chen Diqing			21	Chen.Diqing	tshəntitɕhin // tshəntitɕhən // tɕhəntitɕhin
LaPolla-2003-591-17	17	other	197	OTHER	17	other	nai
LaPolla-2003-591-18	18	he or she [3sg REFL]		HE OR SHE OR IT	16	3sgREFL	ȵi: // ȵiȵi
LaPolla-2003-591-19	19	Chen family			14	Chen.family	tshəntɕɑ
LaPolla-2003-591-20	20	this family			13	this:family	tsoqpi
LaPolla-2003-591-21	21	companion	1325	FRIEND	12	companion	gul
LaPolla-2003-591-22	22	encounter	1831	MEET	12	encounter	tʂepe
LaPolla-2003-591-23	23	die	1494	DIE	12	die	ʂe
LaPolla-2003-591-24	24	old man	406	OLD MAN	14	old.man	qɑpɑ // qɑpə
LaPolla-2003-591-25	25	person	683	PERSON	12	person	mi
LaPolla-2003-591-26	26	husband	1200	HUSBAND	12	husband	wutɕupu
LaPolla-2003-591-27	27	two	1498	TWO	14	DEF:two:CL // INDEF:two:CL // two	jə // kəzzi // ləzzi
LaPolla-2003-591-28	28	parrot	882	PARROT	12	parrot	genkuo // gənkuo
LaPolla-2003-591-29	29	snake	730	SNAKE	10	snake	bəs
LaPolla-2003-591-30	30	dream	2455	DREAMING OR DREAM	10	dream	ʐmu
LaPolla-2003-591-31	31	wife	1199	WIFE	11	wife	lɑntɕi // sətsim
LaPolla-2003-591-32	32	three	492	THREE	11	three	sɑn // xsə
LaPolla-2003-591-33	33	seven	1704	SEVEN	11	seven	ɕtɕi // ɕtɕə
LaPolla-2003-591-34	34	lion	1386	LION	9	lion	sin
LaPolla-2003-591-35	35	today	1283	TODAY	8	today	pəs
LaPolla-2003-591-36	36	door	1567	DOOR	8	door	dʑy
LaPolla-2003-591-37	37	mama		!MAMA	8	mama	mɑ:
LaPolla-2003-591-38	38	LNK (as soon as)			8	LNK(as.soon.as)	ȵiɑufu
LaPolla-2003-591-39	39	send	1127	SEND	8	send	ɕi
LaPolla-2003-591-40	40	here	136	HERE	14	here	tsu // tsɑ // tsə
LaPolla-2003-591-41	41	new (again)	1231	NEW	8	new(again)	xsə
LaPolla-2003-591-42	42	dog	2009	DOG	8	dog	khuə
LaPolla-2003-591-43	43	lose	1660	LOSE	8	lose	ɣʐu
LaPolla-2003-591-44	44	beside	1816	BESIDE	8	beside	pienɑ
LaPolla-2003-591-45	45	sleep	1585	SLEEP	7	sleep	nə
LaPolla-2003-591-46	46	uncle	1327	UNCLE	7	uncle	upu
LaPolla-2003-591-47	47	relieve oneself			7	relieve.oneself	sei
LaPolla-2003-591-48	48	man-eating demon			15	man.eating.demon	jautsan // jɑutsan
LaPolla-2003-591-49	49	learn	504	LEARN	7	learn	su
LaPolla-2003-591-50	50	water	948	WATER	7	water	tsə
LaPolla-2003-591-51	51	seek	1468	LOOK FOR	43	seek	meʴʐ // meʴʐə
LaPolla-2003-591-52	52	stomach	819	STOMACH	7	stomach	χsutsqhɑ
LaPolla-2003-591-53	53	then	2921	THEN	7	†(then)	tɕiu
LaPolla-2003-591-54	54	tether	2891	TIE UP (TETHER)	7	tether	ʑdʑy
LaPolla-2003-591-55	55	Dʑemi			7	Dʑemi	dʑemi
LaPolla-2003-591-56	56	chat	2903	CHAT (WITH SOMEBODY)	8	chat	pethiɑu // pethɑu
LaPolla-2003-591-57	57	row	1849	ROW	7	row	χtʂ
LaPolla-2003-591-58	58	hold	1448	HOLD	9	hold	ge // tsu // tʂu
LaPolla-2003-591-59	59	year	1226	YEAR	7	year	p
LaPolla-2003-591-60	60	needle	1382	NEEDLE (FOR SEWING)	7	needle	χa
LaPolla-2003-591-61	61	uncle’s wife			7	uncle’s.wife	entɕi
LaPolla-2003-591-62	62	sword and bow			6	sword.and.bow	kuɑntɑusəje
LaPolla-2003-591-63	63	male or son	2106	MALE PERSON	6	male/son	tʂi
LaPolla-2003-591-64	64	do	813	DO	39	do // do:PRS	bəl // bələ // p // pu // pů // pɑ // pɑ: // pə // zuo
LaPolla-2003-591-65	65	scissors	356	SHEARS	6	scissors	qusɑp
LaPolla-2003-591-66	66	stone pestle			6	stone.pestle	thəl
LaPolla-2003-591-67	67	god	1944	GOD	7	god	xsə // ɑpə
LaPolla-2003-591-68	68	Huang			6	Huang	χuɑn
LaPolla-2003-591-69	69	ability	2527	ABILITY	6	ability	pənsə
LaPolla-2003-591-70	70	lazy	1564	LAZY	6	lazy	lɑn
