Grapheme	IPA	Example	Count	Unicode
^	NULL			
$	NULL			
u	u	phusuluq, wutɕupu	100	U+0075
u$	u	wu, ʁu	100	U+0075 U+0024
ə$	ə	jə, lə	100	U+0259 U+0024
i$	i	tɕi, ɕi	100	U+0069 U+0024
ɑ	ɑ	lɑw, hɑn	100	U+0251
ɑ$	ɑ	lɑ, hɑ	100	U+0251 U+0024
ə	ə	məq, wətshəi	100	U+0259
i	i	tɕiu, tijikuojautɕhiu	100	U+0069
e$	e	le, se	96	U+0065 U+0024
p	p	ɑpə, ʂpə	71	U+0070
^l	l	lə, le	60	U+005e U+006c
a	a	sawu, χaiʂəχuijələjitian	60	U+0061
n$	n	phin, hɑn	60	U+006e U+0024
^s	s	se, sə	56	U+005e U+0073
t	t	stu, steke	56	U+0074
^k	k	ku, ke	56	U+005e U+006b
n	n	kɑntɕhi, tɑntɑ	56	U+006e
^ʂ	ʂ	ʂə, ʂpə	55	U+005e U+0282
^q	q	qu, qe	52	U+005e U+0071
^j	j	jə, ji	52	U+005e U+006a
^tɕ	tɕ	tɕi, tɕu	50	U+005e U+0074 U+0255
e	e	steke, zei	49	U+0065
tɕ	tɕ	ɕtɕi, xʂuɕtɕu	46	U+0074 U+0255
^m	m	mə, mi	45	U+005e U+006d
^t	t	tu, ta:	45	U+005e U+0074
a$	a	ɦa, ʁza	43	U+0061 U+0024
^p	p	pə, pɑ:	42	U+005e U+0070
l	l	ɦɑlɑ, ʔileile	39	U+006c
^χ	χ	χaiʂə, χuɑ	34	U+005e U+03c7
^ʐ	ʐ	ʐə, ʐmu	34	U+005e U+0290
^ts	ts	tsu, tsi	33	U+005e U+0074 U+0073
q	q	tʂhəqtʂhɑqtʂhəqtʂhɑq, ts̥əqɑ	33	U+0071
o	o	kou, khuoji	32	U+006f
^ʁ	ʁ	ʁu, ʁɑ	31	U+005e U+0281
^ȵ	ȵ	ȵi, ȵi:	31	U+005e U+0235
^w	w	wu, wɑ	30	U+005e U+0077
^ɕ	ɕ	ɕi, ɕtɕi	29	U+005e U+0255
q$	q	məq, qutaq	26	U+0071 U+0024
k	k	steke, ʂku	25	U+006b
^th	tʰ	thɑ, thə	24	U+005e U+0074 U+0068
tʂ	ʈʂ	xtʂəp, qeʴlotʂu	24	U+0074 U+0282
^h	h	hɑ, ha	23	U+005e U+0068
^ɦ	ɦ	ɦɑlɑ, ɦa	22	U+005e U+0266
m	m	ʐmu, ʐmə	22	U+006d
z	z	ʁza, dzɑ	22	U+007a
^z	z	zə, zu	22	U+005e U+007a
ɑ:$	ɑː	lɑ:, pɑ:	21	U+0251 U+003a U+0024
^d	d	dzɑ, dzə	20	U+005e U+0064
^tʂ	ʈʂ	tʂi, tʂə	18	U+005e U+0074 U+0282
^g	g	gul, gueʴ	18	U+005e U+0067
o$	o	mo, tɕo	17	U+006f U+0024
^ph	pʰ	phi, phin	17	U+005e U+0070 U+0068
ts	ts	pefutsə, χsutsqhɑ	16	U+0074 U+0073
s	s	suəsuɑ, phusuluq	16	U+0073
ů$	<?>	ʁů, jů	16	U+016f U+0024
a:$	aː	ta:, ka:	15	U+0061 U+003a U+0024
w	w	sawu, tɕeʴwu	15	U+0077
l$	l	gul, bəl	14	U+006c U+0024
eʴ	eʴ	ɕtɕeʴpɕtɕeʴp, meʴʐə	14	U+0065 U+02b4
^tʂh	tʂh	tʂhə, tʂhetsə	14	U+005e U+0074 U+0282 U+0068
